date,confirmed,,dead,latitude,longitude
2019/12/1,1,0,0,30.58510017,114.2750015
2019/12/2,1,0,0,30.58510017,114.2750015
2019/12/3,1,0,0,30.58510017,114.2750015
2019/12/4,1,0,0,30.58510017,114.2750015
2019/12/5,1,0,0,30.58510017,114.2750015
2019/12/6,1,0,0,30.58510017,114.2750015
2019/12/7,1,0,0,30.58510017,114.2750015
2019/12/8,1,0,0,30.58510017,114.2750015
2019/12/9,1,0,0,30.58510017,114.2750015
2019/12/10,1,0,0,30.58510017,114.2750015
2019/12/11,4,0,0,30.58510017,114.2750015
2019/12/12,4,0,0,30.58510017,114.2750015
2019/12/13,4,0,0,30.58510017,114.2750015
2019/12/14,4,0,0,30.58510017,114.2750015
2019/12/15,6,0,0,30.58510017,114.2750015
2019/12/16,6,0,0,30.58510017,114.2750015
2019/12/17,7,0,0,30.58510017,114.2750015
2019/12/18,8,0,0,30.58510017,114.2750015
2019/12/19,9,0,0,30.58510017,114.2750015
2019/12/20,14,0,0,30.58510017,114.2750015
2019/12/21,18,0,0,30.58510017,114.2750015
2019/12/22,21,0,0,30.58510017,114.2750015
2019/12/23,29,0,0,30.58510017,114.2750015
2019/12/24,30,0,0,30.58510017,114.2750015
2019/12/25,33,0,0,30.58510017,114.2750015
2019/12/26,35,0,0,30.58510017,114.2750015
2019/12/27,37,0,0,30.58510017,114.2750015
2019/12/28,37,0,0,30.58510017,114.2750015
2019/12/29,37,0,0,30.58510017,114.2750015
2019/12/30,37,0,0,30.58510017,114.2750015
2019/12/31,40,0,0,30.58510017,114.2750015
2020/1/1,43,0,0,30.58510017,114.2750015
2020/1/2,44,0,0,30.58510017,114.2750015
2020/1/3,41,0,0,30.58510017,114.2750015
2020/1/4,41,0,0,30.58510017,114.2750015
2020/1/5,41,0,0,30.58510017,114.2750015
2020/1/6,41,0,0,30.58510017,114.2750015
2020/1/7,41,0,0,30.58510017,114.2750015
2020/1/8,41,0,0,30.58510017,114.2750015
2020/1/9,41,0,0,30.58510017,114.2750015
2020/1/10,41,2,1,30.58510017,114.2750015
2020/1/11,41,6,1,30.58510017,114.2750015
2020/1/12,41,7,1,30.58510017,114.2750015
2020/1/13,41,7,1,30.58510017,114.2750015
2020/1/14,41,7,1,30.58510017,114.2750015
2020/1/15,41,12,2,30.58510017,114.2750015
2020/1/16,45,15,2,30.58510017,114.2750015
2020/1/17,62,19,2,30.58510017,114.2750015
2020/1/18,121,24,3,30.58510017,114.2750015
2020/1/19,198,25,3,30.58510017,114.2750015
2020/1/19,1,0,0,22.55290031,114.1110001
2020/1/20,14,0,0,22.55290031,114.1110001
2020/1/20,270,25,6,30.58510017,114.2750015
2020/1/20,5,0,0,39.93170166,116.3690033
2020/1/20,2,0,0,31.23019981,121.4599991
2020/1/21,375,25,6,30.58510017,114.2750015
2020/1/21,2,0,0,39.1371994,117.1880035
2020/1/21,9,0,0,31.23019981,121.4599991
2020/1/21,1,0,0,39.93170166,116.3690033
2020/1/21,1,0,0,39.92,116.37319
2020/1/21,1,0,0,25.04579926,102.7109985
2020/1/21,1,0,0,39.84970093,116.2850037
2020/1/21,2,0,0,39.98360062,116.3010025
2020/1/21,1,0,0,39.90620041,116.6589966
2020/1/21,2,0,0,40.221724,116.216456
2020/1/21,2,0,0,39.65279,116.425195
2020/1/21,1,0,0,30.29409981,120.1689987
2020/1/21,2,0,0,28.0182991,120.6539993
2020/1/21,1,0,0,30.01519966,122.1019974
2020/1/21,1,0,0,28.67250061,121.4479981
2020/1/21,1,0,0,27.63139915,113.8389969
2020/1/21,1,0,0,27.954545,116.360919
2020/1/21,1,0,0,36.0788002,120.3470001
2020/1/21,1,0,0,34.7582016,113.6419983
2020/1/21,1,0,0,28.19820023,112.9789963
2020/1/21,2,0,0,23.1345005,113.2570038
2020/1/21,2,0,0,24.81010056,113.6039963
2020/1/21,14,0,0,22.55290031,114.1110001
2020/1/21,4,0,0,22.27249908,113.5719986
2020/1/21,1,0,0,23.0345993,113.1159973
2020/1/21,2,0,0,21.19470024,110.4029999
2020/1/21,1,0,0,23.09020042,114.3899994
2020/1/21,2,0,0,30.8132,108.3740006
2020/1/21,1,0,0,29.960491,107.146615
2020/1/21,2,0,0,31.08139992,109.8889999
2020/1/21,1,0,0,30.65049934,104.0780029
2020/1/21,1,0,0,30.463984,106.63572
2020/1/22,444,28,17,30.58510017,114.2750015
2020/1/22,2,0,0,39.93170166,116.3690033
2020/1/22,2,0,0,39.92,116.37319
2020/1/22,4,0,0,39.1371994,117.1880035
2020/1/22,1,0,0,39.91479874,116.4449997
2020/1/22,1,0,0,39.84970093,116.2850037
2020/1/22,1,0,0,39.92110062,116.163002
2020/1/22,2,0,0,39.98360062,116.3010025
2020/1/22,1,0,0,39.90620041,116.6589966
2020/1/22,2,0,0,40.221724,116.216456
2020/1/22,2,0,0,39.65279,116.425195
2020/1/22,1,0,0,38.04299927,114.4889984
2020/1/22,1,0,0,37.87400055,112.5650024
2020/1/22,1,0,0,41.78850174,123.4209976
2020/1/22,1,0,0,38.91239929,121.5910034
2020/1/22,1,0,0,43.88479996,125.3099976
2020/1/22,1,0,0,44.58100128,129.5970001
2020/1/22,1,0,0,31.31279945,120.6190033
2020/1/22,1,0,0,30.29409981,120.1689987
2020/1/22,3,0,0,29.86630058,121.5429993
2020/1/22,4,0,0,28.0182991,120.6539993
2020/1/22,1,0,0,30.01519966,122.1019974
2020/1/22,1,0,0,28.67250061,121.4479981
2020/1/22,1,0,0,31.86450005,117.2770004
2020/1/22,1,0,0,26.03650093,119.3180008
2020/1/22,1,0,0,28.67490005,115.8980026
2020/1/22,1,0,0,27.63139915,113.8389969
2020/1/22,1,0,0,27.954545,116.360919
2020/1/22,3,0,0,36.0788002,120.3470001
2020/1/22,1,0,0,37.50109863,122.1090012
2020/1/22,2,0,0,35.07170105,118.3420029
2020/1/22,2,0,0,34.7582016,113.6419983
2020/1/22,1,0,0,34.76900101,112.9670029
2020/1/22,1,0,0,34.66550064,112.3830032
2020/1/22,1,0,0,34.7818985,111.1949997
2020/1/22,1,0,0,28.19820023,112.9789963
2020/1/22,3,0,0,27.54710007,109.9570007
2020/1/22,5,0,0,23.1345005,113.2570038
2020/1/22,2,0,0,24.81010056,113.6039963
2020/1/22,15,0,0,22.55290031,114.1110001
2020/1/22,4,0,0,22.27249908,113.5719986
2020/1/22,1,0,0,23.0345993,113.1159973
2020/1/22,2,0,0,21.19470024,110.4029999
2020/1/22,1,0,0,23.05809975,112.4520035
2020/1/22,1,0,0,23.09020042,114.3899994
2020/1/22,1,0,0,22.52569962,113.3740006
2020/1/22,1,0,0,23.48679924,111.3089981
2020/1/22,1,0,0,21.47909927,109.1220017
2020/1/22,1,0,0,20.03359985,110.3399963
2020/1/22,2,0,0,18.23769951,109.5139999
2020/1/22,1,0,0,18.80039978,110.4079971
2020/1/22,1,0,0,19.91790009,109.6869965
2020/1/22,2,0,0,30.8132,108.3740006
2020/1/22,1,0,0,29.70280075,107.3909988
2020/1/22,1,0,0,29.960491,107.146615
2020/1/22,2,0,0,29.59049988,106.4449997
2020/1/22,1,0,0,30.32379913,107.3570023
2020/1/22,2,0,0,31.08139992,109.8889999
2020/1/22,2,0,0,30.65049934,104.0780029
2020/1/22,2,0,0,31.45910072,104.75
2020/1/22,1,0,0,30.463984,106.63572
2020/1/22,1,0,0,26.58069992,106.7089996
2020/1/22,1,0,0,27.72249985,109.1930008
2020/1/22,16,0,0,31.23019981,121.4599991
2020/1/22,1,0,0,26.264536,107.523205
2020/1/22,2,0,0,34.26679993,108.9449997
2020/1/22,1,0,0,34.33919907,108.7099991
2020/1/22,1,0,0,36.59199905,109.4700012
2020/1/22,1,0,0,38.46730042,106.2740021
2020/1/23,6,0,0,39.93170166,116.3690033
2020/1/23,3,0,0,39.92,116.37319
2020/1/23,2,0,0,39.91479874,116.4449997
2020/1/23,1,0,0,39.84970093,116.2850037
2020/1/23,1,0,0,39.92110062,116.163002
2020/1/23,3,0,0,39.98360062,116.3010025
2020/1/23,2,0,0,39.90620041,116.6589966
