Date,Lat,Long,confirmed,cured,dead
2020/1/22,33,65,0,0,0
2020/1/23,33,65,0,0,0
2020/1/24,33,65,0,0,0
2020/1/25,33,65,0,0,0
2020/1/26,33,65,0,0,0
2020/1/27,33,65,0,0,0
2020/1/28,33,65,0,0,0
2020/1/29,33,65,0,0,0
2020/1/30,33,65,0,0,0
2020/1/31,33,65,0,0,0
2020/2/1,33,65,0,0,0
2020/2/2,33,65,0,0,0
2020/2/3,33,65,0,0,0
2020/2/4,33,65,0,0,0
2020/2/5,33,65,0,0,0
2020/2/6,33,65,0,0,0
2020/2/7,33,65,0,0,0
2020/2/8,33,65,0,0,0
2020/2/9,33,65,0,0,0
2020/2/10,33,65,0,0,0
2020/2/11,33,65,0,0,0
2020/2/12,33,65,0,0,0
2020/2/13,33,65,0,0,0
2020/2/14,33,65,0,0,0
2020/2/15,33,65,0,0,0
2020/2/16,33,65,0,0,0
2020/2/17,33,65,0,0,0
2020/2/18,33,65,0,0,0
2020/2/19,33,65,0,0,0
2020/2/20,33,65,0,0,0
2020/2/21,33,65,0,0,0
2020/2/22,33,65,0,0,0
2020/2/23,33,65,0,0,0
2020/2/24,33,65,1,0,0
2020/2/25,33,65,1,0,0
2020/2/26,33,65,1,0,0
2020/2/27,33,65,1,0,0
2020/2/28,33,65,1,0,0
2020/2/29,33,65,1,0,0
2020/3/1,33,65,1,0,0
2020/3/2,33,65,1,0,0
2020/3/3,33,65,1,0,0
2020/3/4,33,65,1,0,0
2020/3/5,33,65,1,0,0
2020/3/6,33,65,1,0,0
2020/3/7,33,65,1,0,0
2020/3/8,33,65,4,0,0
2020/3/9,33,65,4,0,0
2020/3/10,33,65,5,0,0
2020/3/11,33,65,7,0,0
2020/3/12,33,65,7,0,0
2020/3/13,33,65,7,0,0
2020/3/14,33,65,11,0,0
2020/3/15,33,65,16,0,0
2020/3/16,33,65,21,1,0
2020/3/17,33,65,22,1,0
2020/3/18,33,65,22,1,0
2020/3/19,33,65,22,1,0
2020/3/20,33,65,24,1,0
2020/3/21,33,65,24,1,0
2020/3/22,33,65,40,1,1
2020/3/23,33,65,40,1,1
2020/3/24,33,65,74,1,1
2020/3/25,33,65,84,2,2
2020/3/26,33,65,94,2,4
2020/3/27,33,65,110,2,4
2020/3/28,33,65,110,2,4
2020/3/29,33,65,120,2,4
2020/3/30,33,65,170,2,4
2020/3/31,33,65,174,5,4
2020/4/1,33,65,237,5,4
2020/4/2,33,65,273,10,6
2020/4/3,33,65,281,10,6
2020/4/4,33,65,299,10,7
2020/4/5,33,65,349,15,7
2020/4/6,33,65,367,18,11
2020/4/7,33,65,423,18,14
2020/4/8,33,65,444,29,14
2020/4/9,33,65,484,32,15
2020/4/10,33,65,521,32,15
2020/4/11,33,65,555,32,18
2020/4/12,33,65,607,32,18
2020/4/13,33,65,665,32,21
2020/4/14,33,65,714,40,23
2020/4/15,33,65,784,43,25
2020/4/16,33,65,840,54,30
2020/4/17,33,65,906,99,30
2020/4/18,33,65,933,112,30
2020/1/22,41.1533,20.1683,0,0,0
2020/1/23,41.1533,20.1683,0,0,0
2020/1/24,41.1533,20.1683,0,0,0
2020/1/25,41.1533,20.1683,0,0,0
2020/1/26,41.1533,20.1683,0,0,0
2020/1/27,41.1533,20.1683,0,0,0
2020/1/28,41.1533,20.1683,0,0,0
2020/1/29,41.1533,20.1683,0,0,0
2020/1/30,41.1533,20.1683,0,0,0
2020/1/31,41.1533,20.1683,0,0,0
2020/2/1,41.1533,20.1683,0,0,0
2020/2/2,41.1533,20.1683,0,0,0
2020/2/3,41.1533,20.1683,0,0,0
2020/2/4,41.1533,20.1683,0,0,0
2020/2/5,41.1533,20.1683,0,0,0
2020/2/6,41.1533,20.1683,0,0,0
2020/2/7,41.1533,20.1683,0,0,0
2020/2/8,41.1533,20.1683,0,0,0
2020/2/9,41.1533,20.1683,0,0,0
2020/2/10,41.1533,20.1683,0,0,0
2020/2/11,41.1533,20.1683,0,0,0
2020/2/12,41.1533,20.1683,0,0,0
2020/2/13,41.1533,20.1683,0,0,0
2020/2/14,41.1533,20.1683,0,0,0
2020/2/15,41.1533,20.1683,0,0,0
2020/2/16,41.1533,20.1683,0,0,0
2020/2/17,41.1533,20.1683,0,0,0
2020/2/18,41.1533,20.1683,0,0,0
2020/2/19,41.1533,20.1683,0,0,0
2020/2/20,41.1533,20.1683,0,0,0
2020/2/21,41.1533,20.1683,0,0,0
2020/2/22,41.1533,20.1683,0,0,0
2020/2/23,41.1533,20.1683,0,0,0
2020/2/24,41.1533,20.1683,0,0,0
2020/2/25,41.1533,20.1683,0,0,0
2020/2/26,41.1533,20.1683,0,0,0
2020/2/27,41.1533,20.1683,0,0,0
2020/2/28,41.1533,20.1683,0,0,0
2020/2/29,41.1533,20.1683,0,0,0
2020/3/1,41.1533,20.1683,0,0,0
2020/3/2,41.1533,20.1683,0,0,0
2020/3/3,41.1533,20.1683,0,0,0
2020/3/4,41.1533,20.1683,0,0,0
2020/3/5,41.1533,20.1683,0,0,0
2020/3/6,41.1533,20.1683,0,0,0
2020/3/7,41.1533,20.1683,0,0,0
2020/3/8,41.1533,20.1683,0,0,0
2020/3/9,41.1533,20.1683,2,0,0
2020/3/10,41.1533,20.1683,10,0,0
2020/3/11,41.1533,20.1683,12,0,1
2020/3/12,41.1533,20.1683,23,0,1
2020/3/13,41.1533,20.1683,33,0,1
2020/3/14,41.1533,20.1683,38,0,1
2020/3/15,41.1533,20.1683,42,0,1
2020/3/16,41.1533,20.1683,51,0,1
2020/3/17,41.1533,20.1683,55,0,1
2020/3/18,41.1533,20.1683,59,0,2
2020/3/19,41.1533,20.1683,64,0,2
2020/3/20,41.1533,20.1683,70,0,2
2020/3/21,41.1533,20.1683,76,2,2
2020/3/22,41.1533,20.1683,89,2,2
2020/3/23,41.1533,20.1683,104,2,4
2020/3/24,41.1533,20.1683,123,10,5
2020/3/25,41.1533,20.1683,146,17,5
2020/3/26,41.1533,20.1683,174,17,6
2020/3/27,41.1533,20.1683,186,31,8
2020/3/28,41.1533,20.1683,197,31,10
2020/3/29,41.1533,20.1683,212,33,10
2020/3/30,41.1533,20.1683,223,44,11
2020/3/31,41.1533,20.1683,243,52,15
2020/4/1,41.1533,20.1683,259,67,15
2020/4/2,41.1533,20.1683,277,76,16
2020/4/3,41.1533,20.1683,304,89,17
2020/4/4,41.1533,20.1683,333,99,20
2020/4/5,41.1533,20.1683,361,104,20
2020/4/6,41.1533,20.1683,377,116,21
2020/4/7,41.1533,20.1683,383,131,22
2020/4/8,41.1533,20.1683,400,154,22
2020/4/9,41.1533,20.1683,409,165,23
2020/4/10,41.1533,20.1683,416,182,23
2020/4/11,41.1533,20.1683,433,197,23
2020/4/12,41.1533,20.1683,446,217,23
2020/4/13,41.1533,20.1683,467,232,23
2020/4/14,41.1533,20.1683,475,248,24
2020/4/15,41.1533,20.1683,494,251,25
2020/4/16,41.1533,20.1683,518,277,26
2020/4/17,41.1533,20.1683,539,283,26
2020/4/18,41.1533,20.1683,548,302,26
2020/1/22,28.0339,1.6596,0,0,0
2020/1/23,28.0339,1.6596,0,0,0
2020/1/24,28.0339,1.6596,0,0,0
2020/1/25,28.0339,1.6596,0,0,0
2020/1/26,28.0339,1.6596,0,0,0
2020/1/27,28.0339,1.6596,0,0,0
2020/1/28,28.0339,1.6596,0,0,0
2020/1/29,28.0339,1.6596,0,0,0
2020/1/30,28.0339,1.6596,0,0,0
